checklist_id,term,wave,source_set,baseline_file,baseline_line,baseline_dp_id,baseline_section,baseline_commit,first_use_file,first_use_line,recommended_file,recommended_section,placement_priority,placement_fitness_rating,divergence_match_category,divergence_reliability,divergence_similarity,before_evidence_ref,action_type,decision_detail,reason_code,reason_why,reason_quality,semantic_change_flag,review_attention,after_file,after_line,after_dp_id,after_section,after_commit,after_evidence_ref,phase1_status,final_quality,batch_id,quarantine_status,quarantine_reason,notes,rationale_uuid,rationale_inserted_at_utc,rationale_text_sha256,recommendation_priority,recommendation_used,deviation_permit_path,deviation_permit_sha256,deviation_approved_by,deviation_status,definition_operation,definition_similarity,glossary_definition_sha256,chapter_definition_sha256,definition_normalization_version
WA-001,value,WA,v2-foundational,expressions.rst,2214,fls_buyaqara7am4,Type Cast Expressions,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,34,lexical-elements.rst,Character Set,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=value,move,Moved canonical value definition from Type Cast Expressions into Values and removed the out-of-place duplicate definition paragraph from Expressions.,relocate-conceptual-owner,"Before at expressions.rst:2214 (:dp:) the value definition sat inside Type Cast Expressions, which hurt discoverability and ownership. After at values.rst:27 (:dp:) the canonical sentence is placed in Values, so the foundational concept is defined at its chapter owner with no Rust 2021 semantic change.",pass,none,none,values.rst,27,fls_buyaqara7am4,Values,e1a41fe065bf361375daaeeeea5df19365e50992,,completed,resolved-high,batch-001,,,,e842913b-aba5-452f-843e-7843a3142cc0,2026-02-12T20:04:09Z,b15a3b0fb956f36163b7f4f67accaa77771f2484a3d572602a1d0657a40c6e70,high,yes,,,,,insert,1.000000,4ddd1cffea21c0b93d3ffd6397c43f6647fcb4214c08f8c83b492e8dcc512f09,4ddd1cffea21c0b93d3ffd6397c43f6647fcb4214c08f8c83b492e8dcc512f09,v1
WA-002,expression,WA,v2-foundational,types-and-traits.rst,2522,fls_h5o6tgul4yor,Type Inference,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,648,macros.rst,Macro Expansion,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=expression,move+rewrite,Promoted the canonical expression definition in Expressions and demoted the non-definitional Type Inference occurrence to term usage markup.,relocate-conceptual-owner,"Before at types-and-traits.rst:2522 in Type Inference, the expression occurrence was embedded in a constant-initializer bullet and was not the chapter-owned definitional location. After at expressions.rst:78 with dp id fls_h5o6tgul4yor, the canonical sentence is defined in Expressions for better ownership and discoverability while preserving Rust 2021 meaning.",pass,none,required,expressions.rst,78,fls_h5o6tgul4yor,Expressions,e1a41fe065bf361375daaeeeea5df19365e50992,,completed,resolved-high,batch-001,,,,bff6bb2d-a085-4f8a-87b0-29d891debaed,2026-02-12T20:04:19Z,17d54c55b3880bd01a7aebc124ee0334cbdd75254af58495e70c11490e7f58d1,high,yes,,,,,promote,1.000000,08a29caf147923c9652bb24c848a2008d77ebfcc85ae7679cd83fcb0b7edc8cf,08a29caf147923c9652bb24c848a2008d77ebfcc85ae7679cd83fcb0b7edc8cf,v1
WA-003,type,WA,v2-foundational,types-and-traits.rst,2240,fls_4rhjpdu4zfqj,Type Coercion,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,614,,,none,acceptable,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=type,retain+rewrite,Retained Type Coercion placement and adapted the sentence to subject form so the chapter definition satisfies guarded definition-shape checks.,no-change-not-mislocated,"Before and after at types-and-traits.rst:2240 with dp id fls_4rhjpdu4zfqj, placement remained acceptable in Type Coercion. I changed wording from defines to is a set so the paragraph is subject-form for dt extraction guardrails, while preserving the same semantic content and Rust 2021 meaning with no relocation needed.",pass,clarification-only,required,types-and-traits.rst,2240,fls_4rhjpdu4zfqj,Type Coercion,e1a41fe065bf361375daaeeeea5df19365e50992,,completed,resolved-high,batch-001,,,,8c3f54ed-8864-4b78-afdc-35eeb352b498,2026-02-12T20:04:48Z,9435f813ed5fe5ed052cc74c1d8f0c8fbb76bb1159a29787f504c70ef47c4ada,none,no,,,,,adapt,0.888889,c2bb227a0023d03dd2948bbd6e236cdf3340188326aa3a5c2c41584d4778b987,897d31ad1745d2cffce67239a556229a8cf43c128c33d0f76d176126937e60e4,v1
WA-004,trait,WA,v2-foundational,entities-and-resolution.rst,1758,fls_tani6lesan9u,Path Expression Resolution,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,222,expressions.rst,Constant Expressions,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=trait,move,Resolved trait placement to the canonical Traits definition in types-and-traits and treated the existing sentence as the chapter-owned definition.,relocate-conceptual-owner,"Before at entities-and-resolution.rst:1758 the trait mention appears inside Path Expression Resolution and does not provide the canonical ownership location. After at types-and-traits.rst:2982 with dp id fls_tani6lesan9u, the chapter-owned Traits definition matches glossary text exactly, improving discoverability and preserving Rust 2021 meaning without semantic change.",pass,none,none,types-and-traits.rst,2982,fls_tani6lesan9u,Traits,c05c97ad04d3bd0265ef74c2663e85ffc45c544e,,completed,resolved-high,batch-004,,,,dc0dac80-96a5-4b68-9acc-a88694242e44,2026-02-12T20:14:18Z,0fcff7b3b4b6fa36d1f06c46f5321f7b60bbfcfba46dbc6d86598c48df5a3181,high,yes,,,,,promote,1.000000,d72481243552714286b806ee534e14a797aac21bf51facf20f0f111e4b668e54,d72481243552714286b806ee534e14a797aac21bf51facf20f0f111e4b668e54,v1
WA-005,construct,WA,v2-foundational,entities-and-resolution.rst,527,fls_3nqb7p5ifvio,Generic Parameter Scope,19e75856eac5694e5d613c7c59b429848d333992,general.rst,158,lexical-elements.rst,Comments,low_forward_ref,acceptable_at_home,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=construct,retain,Retained construct in Generic Parameter Scope because the chapter already contains the canonical definitional sentence aligned with glossary text.,retain-conceptual-owner,"Before and after at entities-and-resolution.rst:525 with dp id fls_2tk3wryqpzev, construct is defined in a canonical ownership context for scope and validity rules. Keeping the definition here preserves first-use discoverability within the chapter, keeps the exact glossary-aligned wording, and introduces no Rust 2021 semantic change.",pass,none,none,entities-and-resolution.rst,525,fls_2tk3wryqpzev,Generic Parameter Scope,c05c97ad04d3bd0265ef74c2663e85ffc45c544e,,completed,resolved-high,batch-004,,,,55e89ea2-2c35-4f23-8c40-5a31f22da724,2026-02-12T20:14:27Z,429d41f9d113c397d87dcd6d1f0ab8778fa6bd37f91a42a22d6ef2a6267460e0,low_forward_ref,no,,,,,promote,1.000000,6a775ca137946cbbddb41be1b23c1cd631640134901b0e4a89a32f62ae6cfdfc,6a775ca137946cbbddb41be1b23c1cd631640134901b0e4a89a32f62ae6cfdfc,v1
WA-006,entity,WA,v2-foundational,entities-and-resolution.rst,1537,fls_p23q1ob2qitz,Path Resolution,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,665,expressions.rst,Path Expressions,low_forward_ref,acceptable_at_home,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=entity,retain,Retained entity in Path Resolution because the existing chapter sentence is already the canonical definition and matches glossary wording.,retain-conceptual-owner,"Before and after at entities-and-resolution.rst:1541 with dp id fls_41of3g2m26q7, entity remains in Path Resolution where naming and lookup rules establish ownership and discoverability. The chapter definition is already glossary-equivalent, so retaining it avoids churn and preserves Rust 2021 semantics with no meaning change.",pass,none,none,entities-and-resolution.rst,1541,fls_41of3g2m26q7,Path Resolution,c05c97ad04d3bd0265ef74c2663e85ffc45c544e,,completed,resolved-high,batch-004,,,,af3eac20-ab92-48b1-a642-f21e16871680,2026-02-12T20:14:36Z,11595fbbc4bab70fa375ebb1066c43cd2946f072d0940933893b2894ff9498c0,low_forward_ref,no,,,,,promote,1.000000,d41189a260f82327e8019180fa3c62179ca9a276c9827c942fe4b4a1575d409b,d41189a260f82327e8019180fa3c62179ca9a276c9827c942fe4b4a1575d409b,v1
WA-007,name,WA,v2-foundational,entities-and-resolution.rst,151,fls_7kpepal8ghuj,Visibility,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,488,lexical-elements.rst,Identifiers,low_forward_ref,acceptable_at_home,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=name,retain,Retained the chapter-owned name definition in Visibility because the canonical glossary sentence already exists there.,retain-conceptual-owner,"Before at entities-and-resolution.rst:151 (dp id fls_7kpepal8ghuj), name only appeared as an inline term inside the visibility definition, which was weaker for direct term discoverability. After at entities-and-resolution.rst:154 (dp id fls_2m0qkn47vy9d), name is defined as its own glossary-aligned subject sentence in the same conceptual-owner section, improving local lookup without changing Rust 2021 semantics.",pass,none,none,entities-and-resolution.rst,154,fls_2m0qkn47vy9d,Visibility,e498c8d6275cffce4640683ec664fa527d5bf010,,completed,resolved-high,batch-009,,,,2be268f7-a8b8-4109-a0d8-76fd940f2438,2026-02-12T21:36:27Z,c7f7fb1a7c6cb6fd6714d242bc47559ba3bef48b44009dbaad1118f45efb14fc,low_forward_ref,no,,,,,promote,1.000000,27a8fc003bb8f6c6b75d63bc485ba428678df9632d7b5eb53b456460005242d7,27a8fc003bb8f6c6b75d63bc485ba428678df9632d7b5eb53b456460005242d7,v1
WA-008,item,WA,v2-foundational,macros.rst,498,fls_knjsslplv5ri,Attribute Macros,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,497,macros.rst,Macro Expansion,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=item,move,Inserted the canonical item definition in Items so the foundational term is defined in its required chapter owner location.,relocate-conceptual-owner,"Before at macros.rst:498 with dp id fls_knjsslplv5ri, item appeared in attribute macro wording rather than a standalone owner definition, which reduced discoverability for the core concept. After at items.rst:46 with dp id fls_d0q4h7p2m9vx, item is defined with the canonical glossary sentence in the Items chapter, improving ownership and navigation with no Rust 2021 semantic change.",pass,none,none,items.rst,46,fls_d0q4h7p2m9vx,Items,7b8d1eb9dd185fb5bacb2a6d93f2736287a5621b,,completed,resolved-high,batch-006,,,,e3af1928-a2f0-49e7-8a3a-ee1ed00890f0,2026-02-12T21:26:29Z,38e21f890ea9517cc1b43ebdb28b07fda120318a10093d794e39488c1e7f0653,high,yes,,,,,insert,1.000000,829f637f8e219a2fc5bf6ccc83dae3b454ec75b19f41cf26a21728f317729da1,829f637f8e219a2fc5bf6ccc83dae3b454ec75b19f41cf26a21728f317729da1,v1
WA-009,field,WA,v2-foundational,patterns.rst,844,fls_mnh35ehva8tx,Record Struct Patterns,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,1039,expressions.rst,Borrow Expression,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=field,move,Inserted the canonical field definition in Struct Types so the foundational term resides in the required type-owner chapter.,relocate-conceptual-owner,"Before at patterns.rst:844 with dp id fls_mnh35ehva8tx, field appeared as part of indexed deconstructor wording and not as the owner chapter definition, which limited first-read discoverability. After at types-and-traits.rst:909 with dp id fls_f2v8k1m4q9zd in Struct Types, field now has the canonical glossary-aligned sentence at the required foundational location, with no Rust 2021 semantic change.",pass,none,none,types-and-traits.rst,909,fls_f2v8k1m4q9zd,Struct Types,7b8d1eb9dd185fb5bacb2a6d93f2736287a5621b,,completed,resolved-high,batch-006,,,,57cb84d8-9402-4ecd-97f5-64cb95c77a10,2026-02-12T21:26:51Z,8ad1951bf166673ecc5c6b4081af5c27f21a2e1b27a4d0ca3b92bdb6b68697a3,high,yes,,,,,insert,1.000000,5a75553fb8251adb7128025ae40652400de507a4c1e32071c417e9e4361dbd83,5a75553fb8251adb7128025ae40652400de507a4c1e32071c417e9e4361dbd83,v1
WA-010,reference,WA,v2-foundational,expressions.rst,1019,fls_ya77l2zgtilp,Borrow Expression,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,1006,ownership-and-deconstruction.rst,References,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=reference,move,Inserted the canonical reference definition in the References section so the foundational term is chapter-owned in ownership-and-deconstruction.,relocate-conceptual-owner,"Before at expressions.rst:1019 with dp id fls_ya77l2zgtilp, the defining wording appeared under Borrow Expression instead of the ownership chapter that conceptually owns references. After at ownership-and-deconstruction.rst:102 with dp id fls_2s9h4k8v1qpm, References now contains the canonical glossary sentence as a standalone chapter definition, improving ownership and discoverability while preserving Rust 2021 semantics with no meaning change.",pass,none,none,ownership-and-deconstruction.rst,102,fls_2s9h4k8v1qpm,References,d7c8a943cb79877d59c37e17f26d678797fbb0c2,,completed,resolved-high,batch-007,,,,8f491159-b8f7-4944-8d6b-ba1a38c8d6a0,2026-02-12T21:29:56Z,8e20167fdb547df24b14d557100a0fcd81b64dd35535e1b0d040d2ffa89a7cae,high,yes,,,,,insert,1.000000,760ffb165802c54f35f7569e6f75440061518c83a27dc711972a51023b99b3dc,760ffb165802c54f35f7569e6f75440061518c83a27dc711972a51023b99b3dc,v1
